imdb,metascore,movie,votes,year
3.2,30,Slender Man,19422,(2018)
6.9,71,Arctic,18869,(2018)
6.1,53,Book Club,18602,(I) (2018)
7.0,69,Boy Erased,18569,(2018)
5.5,39,The Nutcracker and the Four Realms,18419,(2018)
7.0,68,Everybody Knows,17892,(2018)
3.8,24,Holmes & Watson,17410,(2018)
6.4,44,Incident in a Ghostland,17373,(2018)
7.3,81,The Hate U Give,17362,(2018)
6.0,71,Cam,17327,(2018)
5.4,19,Replicas,17016,(2018)
7.4,77,Blindspotting,16969,(2018)
5.3,27,The Happytime Murders,16891,(2018)
8.4,85,Won't You Be My Neighbor?,16679,(2018)
7.3,75,Stan & Ollie,16636,(2018)
6.0,37,Traffik,16635,(2018)
6.9,76,At Eternity's Gate,16338,(2018)
8.0,59,Dragon Ball Super: Broly,16311,(2018)
6.6,38,Midnight Sun,16114,(2018)
6.4,59,Under the Silver Lake,16084,(2018)
6.4,59,White Boy Rick,16069,(2018)
6.3,30,The Outsider,15998,(I) (2018)
7.1,60,Dragged Across Concrete,15868,(2018)
6.1,68,Early Man,15822,(2018)
6.7,76,Calibre,15422,(2018)
8.4,91,They Shall Not Grow Old,15408,(II) (2018)
6.1,52,Like Father,15367,(2018)
5.1,35,The Hurricane Heist,15216,(2018)
7.7,81,Three Identical Strangers,15199,(2018)
6.0,46,Destination Wedding,15168,(2018)
6.4,69,Beirut,14937,(2018)
7.0,69,The Night Comes for Us,14359,(2018)
5.3,27,Terminal,14298,(I) (2018)
6.9,67,"Don't Worry, He Won't Get Far on Foot",14129,(2018)
6.9,80,Wildlife,13997,(2018)
5.9,53,Unfriended: Dark Web,13660,(2018)
5.1,41,The Week Of,13495,(2018)
6.4,42,Bad Samaritan,13399,(2018)
7.3,70,Dogman,13344,(2018)
6.4,52,Every Day,13301,(2018)
6.2,62,Destroyer,13284,(2018)
5.8,46,Second Act,12893,(2018)
6.6,69,The Miseducation of Cameron Post,12882,(2018)
5.2,56,Ibiza,12663,(2018)
6.8,69,Teen Titans Go! To the Movies,12448,(2018)
6.8,74,Colette,12019,(I) (2018)
6.9,59,On the Basis of Sex,11864,(2018)
8.2,86,Ahlat Agaci,11779,(2018)
7.1,75,Border,11498,(2018)
6.7,69,Fahrenheit 11/9,11491,(2018)
5.2,37,The Possession of Hannah Grace,11483,(2018)
7.4,30,I Can Only Imagine,11392,(2018)
5.6,53,Goosebumps 2: Haunted Halloween,11336,(2018)
6.3,62,Alex Strangelove,11302,(2018)
6.6,67,"Juliet, Naked",11155,(2018)
6.8,55,A Futile and Stupid Gesture,10706,(2018)
6.2,60,The Perfection,10569,(2018)
5.8,49,7 Days in Entebbe,10393,(2018)
4.8,24,Gotti,10282,(2018)
6.7,36,Forever My Girl,10241,(2018)
6.7,66,Ben Is Back,10183,(2018)
6.0,77,High Life,10136,(2018)
7.3,90,The Tale,10103,(2018)
7.3,83,Private Life,10070,(2018)
5.4,42,Breaking In,10059,(2018)
6.7,75,A Private War,9727,(2018)
5.7,57,Uncle Drew,9682,(2018)
5.2,45,Occupation,9599,(2018)
5.8,59,In Darkness,9581,(2018)
6.0,54,Greta,9405,(2018)
6.6,21,Life Itself,9160,(2018)
6.5,59,The Clovehitch Killer,9105,(2018)
