,imdb,metascore,movie,votes,year
129,6.7,57,Summer of 84,22103,(2018)
130,5.2,45,The 15:17 to Paris,21740,(2018)
131,5.2,48,The Strangers: Prey at Night,21530,(2018)
132,5.4,32,"Game Over, Man!",21343,(2018)
133,6.1,46,Gringo,21216,(2018)
134,5.7,39,The Darkest Minds,21140,(2018)
135,6.5,58,Operation Finale,20812,(2018)
136,5.8,43,Tau,20276,(2018)
137,6.1,41,Super Troopers 2,20015,(2018)
138,6.7,53,Dumplin',19796,(2018)
